InputID,TargetID,Distance
AN UNBURN F01 ,BC BURN G02 ,140467.357875968
AN UNBURN F01 ,BC BURN G03 ,140436.062448631
AN UNBURN F01 ,BC BURN R01 ,139353.216232606
AN UNBURN F01 ,BC BURN R02 ,139408.093715223
AN UNBURN F01 ,BC BURN S01 ,138880.722321778
AN UNBURN F01 ,BC BURN S02 ,139086.892737271
AN UNBURN F01 ,BC UNBURN R01,137402.309318839
AN UNBURN F01 ,BC UNBURN R02   ,139703.154889944
AN UNBURN F01 ,BC UNBURN S01 ,139642.424509747
AN UNBURN F01 ,BC UNBURN S02 ,139588.678217627
AN UNBURN F01 ,BO BURN G01 ,58824.8540291934
AN UNBURN F01 ,BO BURN G02 ,58976.5365425631
AN UNBURN F01 ,BO BURN O01 ,60182.9310189618
AN UNBURN F01 ,BO BURN O02 ,60017.0770941529
AN UNBURN F01 ,BO BURN O03 ,59862.6726178646
AN UNBURN F01 ,BO BURN S01 ,59429.0523162748
AN UNBURN F01 ,BO BURN S02 ,59633.1338863115
AN UNBURN F01 ,BO BURN S03 ,59764.0999877231
AN UNBURN F01 ,BO UNBURN G01 ,58754.0839405608
AN UNBURN F01 ,BO UNBURN G02 ,58725.234452814
AN UNBURN F01 ,BO UNBURN O01 ,58629.2582638086
AN UNBURN F01 ,BO UNBURN O02 ,59286.2354440897
AN UNBURN F01 ,BO UNBURN S01 ,57978.365910979
AN UNBURN F01 ,BO UNBURN S02 ,57983.3744879954
AN UNBURN F01 ,BO UNBURN S03 ,58104.3220125776
AN UNBURN F01 ,HT BURN C01 ,110659.644249577
AN UNBURN F01 ,HT BURN C02,110528.164242706
AN UNBURN F01 ,HT BURN C03 ,110601.189647625
AN UNBURN F01 ,HT BURN G01 ,110468.594001387
AN UNBURN F01 ,HT BURN G02 ,110518.044336621
AN UNBURN F01 ,HT BURN G04 ,110709.970402084
AN UNBURN F01 ,HT BURN O01 ,110327.560436851
AN UNBURN F01 ,HT BURN O02 ,110080.802890204
AN UNBURN F01 ,HT BURN O03 ,110326.681604246
